date,slot,customer_count
2026-06-15,08:00-11:00,146
2026-06-15,11:00-14:00,214
2026-06-15,14:00-17:00,113
2026-06-15,17:00-20:00,229
2026-06-16,08:00-11:00,119
2026-06-16,11:00-14:00,188
2026-06-16,14:00-17:00,115
2026-06-16,17:00-20:00,242
2026-06-17,08:00-11:00,131
2026-06-17,11:00-14:00,190
2026-06-17,14:00-17:00,124
2026-06-17,17:00-20:00,277
2026-06-18,08:00-11:00,150
2026-06-18,11:00-14:00,189
2026-06-18,14:00-17:00,126
2026-06-18,17:00-20:00,251
2026-06-19,08:00-11:00,187
2026-06-19,11:00-14:00,246
2026-06-19,14:00-17:00,151
2026-06-19,17:00-20:00,317
2026-06-20,08:00-11:00,237
2026-06-20,11:00-14:00,306
2026-06-20,14:00-17:00,235
2026-06-20,17:00-20:00,510
2026-06-21,08:00-11:00,256
2026-06-21,11:00-14:00,327
2026-06-21,14:00-17:00,173
2026-06-21,17:00-20:00,401
2026-06-22,08:00-11:00,125
2026-06-22,11:00-14:00,188
2026-06-22,14:00-17:00,120
2026-06-22,17:00-20:00,226
2026-06-23,08:00-11:00,137
2026-06-23,11:00-14:00,195
2026-06-23,14:00-17:00,119
2026-06-23,17:00-20:00,227
2026-06-24,08:00-11:00,136
2026-06-24,11:00-14:00,194
2026-06-24,14:00-17:00,131
2026-06-24,17:00-20:00,281
2026-06-25,08:00-11:00,140
2026-06-25,11:00-14:00,194
2026-06-25,14:00-17:00,124
2026-06-25,17:00-20:00,325
2026-06-26,08:00-11:00,173
2026-06-26,11:00-14:00,269
2026-06-26,14:00-17:00,170
2026-06-26,17:00-20:00,321
2026-06-27,08:00-11:00,233
2026-06-27,11:00-14:00,383
2026-06-27,14:00-17:00,233
2026-06-27,17:00-20:00,520
2026-06-28,08:00-11:00,200
2026-06-28,11:00-14:00,303
2026-06-28,14:00-17:00,218
2026-06-28,17:00-20:00,379
2026-06-29,08:00-11:00,132
2026-06-29,11:00-14:00,228
2026-06-29,14:00-17:00,137
2026-06-29,17:00-20:00,244
2026-06-30,08:00-11:00,148
2026-06-30,11:00-14:00,199
2026-06-30,14:00-17:00,123
2026-06-30,17:00-20:00,240
2026-07-01,08:00-11:00,142
2026-07-01,11:00-14:00,230
2026-07-01,14:00-17:00,122
2026-07-01,17:00-20:00,241
2026-07-02,08:00-11:00,157
2026-07-02,11:00-14:00,226
2026-07-02,14:00-17:00,134
2026-07-02,17:00-20:00,302
2026-07-03,08:00-11:00,185
2026-07-03,11:00-14:00,295
2026-07-03,14:00-17:00,154
2026-07-03,17:00-20:00,359
2026-07-04,08:00-11:00,240
2026-07-04,11:00-14:00,328
2026-07-04,14:00-17:00,222
2026-07-04,17:00-20:00,499
2026-07-05,08:00-11:00,244
2026-07-05,11:00-14:00,311
2026-07-05,14:00-17:00,192
2026-07-05,17:00-20:00,433
2026-07-06,08:00-11:00,129
2026-07-06,11:00-14:00,210
2026-07-06,14:00-17:00,128
2026-07-06,17:00-20:00,283
2026-07-07,08:00-11:00,122
2026-07-07,11:00-14:00,229
2026-07-07,14:00-17:00,119
2026-07-07,17:00-20:00,252
2026-07-08,08:00-11:00,147
2026-07-08,11:00-14:00,236
2026-07-08,14:00-17:00,133
2026-07-08,17:00-20:00,277
2026-07-09,08:00-11:00,167
2026-07-09,11:00-14:00,211
2026-07-09,14:00-17:00,148
2026-07-09,17:00-20:00,289
2026-07-10,08:00-11:00,190
2026-07-10,11:00-14:00,228
2026-07-10,14:00-17:00,169
2026-07-10,17:00-20:00,354
2026-07-11,08:00-11:00,234
2026-07-11,11:00-14:00,365
2026-07-11,14:00-17:00,181
2026-07-11,17:00-20:00,521
2026-07-12,08:00-11:00,236
2026-07-12,11:00-14:00,310
2026-07-12,14:00-17:00,207
2026-07-12,17:00-20:00,474
